ID,formula,gen_formula,space_group,segments,flat_segments,flatness_score,discovery,binary_flatness,horz_flat_seg,exfoliation_eg,decomp_eng,band_gap,point_group,crystal,A,B,C,D,E,F,radio,f_orb,sg_sto_group,percentage_flat,relative_id,crystal_system,0,1,2,3,fx,fy
2dm-20,Al2S5,A2B5,1,4,2,0.46089,bottom-up,0,0,0.084083,0.0,2.2099,1,triclinic,Al,S,,,,,non-radioactive,no-f-in-valence,,,2dm-4306,triclinic,-0.12288126349449158,0.06965901702642441,0.029134973883628845,0.07469435781240463,59.53513,-32.272118
2dm-21,TaI3,AB3,162,3,3,0.88201,bottom-up,1,1,0.097255,0.23111,0.0,-3m,trigonal,I,Ta,,,,,non-radioactive,no-f-in-valence,652.0,85.2,2dm-3549,trigonal,-0.12221559137105942,0.0686945915222168,0.028170080855488777,0.07522469013929367,12.417899,9.612834
2dm-22,Li2O,AB2,164,3,3,0.96678,bottom-up,1,4,0.037593,0.18798,1.9866,-3m,trigonal,Li,O,,,,,non-radioactive,no-f-in-valence,377.0,5.8,2dm-3869,trigonal,-0.12238773703575134,0.06923236697912216,0.02804744616150856,0.07547144591808319,38.95195,-12.535301
2dm-23,TlSb,AB,129,3,0,0.19798,bottom-up,0,0,0.40734,0.35179,0.0,4/mmm,tetragonal,Sb,Tl,,,,,non-radioactive,no-f-in-valence,,,2dm-3743,tetragonal,-0.12407957017421722,0.06879168748855591,0.030336948111653328,0.07669251412153244,111.37146,15.29669
2dm-24,CdBr2,AB2,115,3,1,0.36862,bottom-up,0,0,0.091554,0.032855,3.0243,-42m,tetragonal,Br,Cd,,,,,non-radioactive,no-f-in-valence,,,2dm-4713,tetragonal,-0.1251017153263092,0.07152286916971207,0.027522599324584007,0.0739944726228714,43.640907,-72.90497
2dm-25,VBr4,AB4,123,3,3,0.97834,bottom-up,1,2,0.14029,0.058544,0.0,4/mmm,tetragonal,Br,V,,,,,non-radioactive,no-f-in-valence,726.0,23.9,2dm-3290,tetragonal,-0.12134859710931778,0.06855633109807968,0.027937324717640877,0.07479555904865265,-28.288467,6.3521166
2dm-26,AlSb3,AB3,164,3,2,0.72804,bottom-up,0,0,0.35454,0.36525,0.3897,-3m,trigonal,Al,Sb,,,,,non-radioactive,no-f-in-valence,,,,trigonal,-0.12177687883377075,0.06869659572839737,0.02865862473845482,0.07505495846271515,20.709555,1.1382182
2dm-27,Al4O3,A3B4,11,4,1,0.21195,bottom-up,0,0,0.24822,0.44522,0.0,2/m,monoclinic,Al,O,,,,,non-radioactive,no-f-in-valence,,,2dm-3496,monoclinic,-0.12340585887432098,0.06890827417373657,0.028573671355843544,0.07570736855268478,71.177185,15.740775
2dm-28,Mo3S4,A3B4,164,5,0,0.079424,bottom-up,0,0,0.035037,0.29245,0.0,-3m,trigonal,Mo,S,,,,,non-radioactive,no-f-in-valence,,,2dm-4728,trigonal,-0.12240365147590637,0.067925363779068,0.02876506932079792,0.07502201944589615,35.426792,24.67484
2dm-29,SBr,AB,2,4,4,0.82037,bottom-up,1,3,0.067035,0.035965,1.8022,-1,triclinic,Br,S,,,,,non-radioactive,no-f-in-valence,276.0,24.2,2dm-4682,triclinic,-0.12157000601291656,0.0685775876045227,0.02757221646606922,0.07504802197217941,-26.508755,-7.8393536
2dm-30,Sb2C,AB2,26,4,2,0.40421,bottom-up,0,0,0.080691,0.7836,0.1622,mm2,orthorhombic,C,Sb,,,,,non-radioactive,no-f-in-valence,,,2dm-4912,orthorhombic,-0.12210941314697266,0.06847666949033737,0.02881510555744171,0.07560527324676514,38.451603,29.718134
2dm-31,AlF3,AB3,12,3,3,0.91302,bottom-up,1,3,,0.099925,8.4202,2/m,monoclinic,Al,F,,,,,non-radioactive,no-f-in-valence,620.0,76.7,2dm-4040,monoclinic,-0.12089123576879501,0.06779869645833969,0.027667198330163956,0.07472684979438782,-88.300285,3.898127
2dm-32,MoBr3,AB3,12,3,3,0.97822,bottom-up,1,3,,0.057643,1.0679,2/m,monoclinic,Br,Mo,,,,,non-radioactive,no-f-in-valence,620.0,76.7,2dm-3836,monoclinic,-0.12200558185577393,0.06850776076316833,0.028225921094417572,0.07521653920412064,9.789403,8.368258
2dm-33,B2O3,A2B3,189,3,0,0.43419,bottom-up,0,0,0.071358,0.020691,5.1866,-6m2,hexagonal,B,O,,,,,non-radioactive,no-f-in-valence,,,2dm-3374,hexagonal,-0.1258184164762497,0.07181008160114288,0.03021037019789219,0.07481445372104645,116.83269,-36.155914
2dm-34,GaSb3,AB3,164,3,3,0.733,bottom-up,1,3,0.32059,0.29722,0.3806,-3m,trigonal,Ga,Sb,,,,,non-radioactive,no-f-in-valence,654.0,20.3,,trigonal,-0.12175805121660233,0.06875793635845184,0.028562434017658234,0.0749778226017952,20.573332,-0.2138846
2dm-36,SiI4,AB4,123,3,1,0.43948,bottom-up,0,0,0.19686,0.46955,0.0,4/mmm,tetragonal,I,Si,,,,,non-radioactive,no-f-in-valence,,,2dm-4359,tetragonal,-0.12168878316879272,0.06876099109649658,0.027053290978074074,0.07452670484781265,-31.893587,-31.349783
2dm-37,SiCl4,AB4,123,3,1,0.37994,bottom-up,0,0,0.09405,0.52478,1.3023,4/mmm,tetragonal,Cl,Si,,,,,non-radioactive,no-f-in-valence,,,2dm-4359,tetragonal,-0.12242630869150162,0.06974475085735321,0.02703440748155117,0.0746602937579155,-1.146634,-47.6198
2dm-38,Nd2Se5,A2B5,129,3,0,0.067365,bottom-up,0,0,0.028359,0.021496,0.0,4/mmm,tetragonal,Nd,Se,,,,,non-radioactive,f-in-valence,,,2dm-3185,tetragonal,-0.12148386985063553,0.06838785856962204,0.028784509748220444,0.07486613839864731,3.5327504,26.454695
2dm-39,AlF,AB,59,4,1,0.14018,bottom-up,0,0,0.11792,0.82518,0.92,mmm,orthorhombic,Al,F,,,,,non-radioactive,no-f-in-valence,,,2dm-3762,orthorhombic,-0.12617109715938568,0.07022132724523544,0.029843147844076157,0.07493594288825989,112.329666,-28.822184
2dm-40,YSi3,AB3,191,3,0,0.050215,bottom-up,0,0,0.90909,0.98948,0.0,6/mmm,hexagonal,Si,Y,,,,,non-radioactive,no-f-in-valence,,,2dm-5552,hexagonal,-0.12349603325128555,0.06892455369234085,0.028784792870283127,0.07591293007135391,72.35248,16.91198
