ID,formula,gen_formula,space_group,segments,flat_segments,flatness_score,discovery,binary_flatness,horz_flat_seg,exfoliation_eg,decomp_eng,band_gap,point_group,crystal,A,B,C,D,E,F,radio,f_orb,sg_sto_group,percentage_flat,relative_id,crystal_system,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,fx,fy
2dm-13,SnCl4,AB4,123,3,1,0.44698,bottom-up,0,0,0.10162,0.18223,1.299,4/mmm,tetragonal,Cl,Sn,,,,,non-radioactive,no-f-in-valence,,,2dm-4359,tetragonal,0.517033576965332,0.5096127390861511,0.5110255479812622,0.5307449102401733,0.5005523562431335,0.5010416507720947,0.49720287322998047,0.504642903804779,0.5114937424659729,0.4733140766620636,0.5051847100257874,0.537457287311554,0.5013839602470398,0.5033203959465027,0.48980703949928284,0.49501341581344604,0.5064597725868225,0.4952993094921112,0.5005137324333191,0.6108669638633728,0.5088279247283936,0.485289067029953,0.5083814263343811,0.4927629828453064,0.49774134159088135,0.4979460835456848,0.5041288137435913,0.5082964897155762,0.5127489566802979,0.5065815448760986,0.5065023303031921,0.49001237750053406,-56.055508,-4.9681726
2dm-14,Ti3Se2,A2B3,123,3,1,0.25361,bottom-up,0,0,,0.044442,0.0,4/mmm,tetragonal,Se,Ti,,,,,non-radioactive,no-f-in-valence,,,2dm-3471,tetragonal,0.5164440274238586,0.4963000416755676,0.4918149411678314,0.5386334657669067,0.5002853870391846,0.5061237812042236,0.49489855766296387,0.3187190890312195,0.5095744729042053,0.4724668860435486,0.5088745355606079,0.5437670350074768,0.4984841048717499,0.4915703237056732,0.5056077837944031,0.48649656772613525,0.5258935689926147,0.5030960440635681,0.5130692720413208,0.573120653629303,0.4907878041267395,0.4833047688007355,0.503618597984314,0.49015021324157715,0.48186320066452026,0.5088393688201904,0.5436777472496033,0.5026198625564575,0.5158031582832336,0.50555819272995,0.510667085647583,0.49400824308395386,-1.4591401,-123.333206
2dm-15,MoF2,AB2,12,5,1,0.35366,bottom-up,0,0,0.094174,0.41908,2.6526,2/m,monoclinic,F,Mo,,,,,non-radioactive,no-f-in-valence,,,2dm-4519,monoclinic,0.4703410565853119,0.5103619694709778,0.5056259632110596,0.5058767795562744,0.4899981617927551,0.5087204575538635,0.4948427081108093,0.6667978763580322,0.5010169744491577,0.504892885684967,0.5259785652160645,0.5157982707023621,0.49076369404792786,0.5034389495849609,0.4716295599937439,0.5155095458030701,0.5039546489715576,0.46972060203552246,0.4746069610118866,0.5610184669494629,0.5032687783241272,0.5196774005889893,0.5083329677581787,0.5002961754798889,0.5216615200042725,0.4979066550731659,0.48246970772743225,0.5191106796264648,0.49028822779655457,0.5008192658424377,0.4795074164867401,0.48270100355148315,-8.170187,112.79939
2dm-16,IrS2,AB2,164,3,0,0.072993,bottom-up,0,0,0.17434,0.17947,0.0,-3m,trigonal,Ir,S,,,,,non-radioactive,no-f-in-valence,,,2dm-3401,trigonal,0.498000830411911,0.5108646154403687,0.5120280385017395,0.519833505153656,0.5041866898536682,0.5028963088989258,0.5000581741333008,0.6034335494041443,0.5124977827072144,0.48593977093696594,0.5179563760757446,0.5247325897216797,0.5019675493240356,0.5032562613487244,0.48442625999450684,0.5066711902618408,0.5066330432891846,0.4854503870010376,0.4903483986854553,0.6109534502029419,0.5072975158691406,0.49997323751449585,0.5070613026618958,0.4946850538253784,0.5088827610015869,0.49706074595451355,0.48663973808288574,0.5157471895217896,0.5129976868629456,0.511624813079834,0.4995284974575043,0.4835948944091797,-28.666475,70.66665
2dm-17,HfBr2,AB2,11,4,1,0.28961,bottom-up,0,0,0.06846,0.0,0.8581,2/m,monoclinic,Br,Hf,,,,,non-radioactive,no-f-in-valence,,,,monoclinic,0.5249135494232178,0.500318706035614,0.5016393661499023,0.5312515497207642,0.5026489496231079,0.5011699795722961,0.49074989557266235,0.42699816823005676,0.5144269466400146,0.4689886271953583,0.5102785229682922,0.5565042495727539,0.5027404427528381,0.4944005012512207,0.5004155039787292,0.48450973629951477,0.5197660326957703,0.49594035744667053,0.5048595666885376,0.6533069014549255,0.49606916308403015,0.47664710879325867,0.5044057369232178,0.49145862460136414,0.4840376079082489,0.5072280168533325,0.5173512101173401,0.5005881190299988,0.5213061571121216,0.5101416707038879,0.5101744532585144,0.4904198944568634,-73.863014,-67.95371
2dm-18,AuSe,AB,59,4,0,0.069716,bottom-up,0,0,0.10465,0.27418,0.0,mmm,orthorhombic,Au,Se,,,,,non-radioactive,no-f-in-valence,,,2dm-3486,orthorhombic,0.5103728175163269,0.511829137802124,0.5137218832969666,0.525482177734375,0.5014144778251648,0.5026578903198242,0.4992345869541168,0.556725025177002,0.5110960602760315,0.4790312945842743,0.5114592909812927,0.5303638577461243,0.5011192560195923,0.503608226776123,0.4838518798351288,0.49958300590515137,0.505632758140564,0.49098706245422363,0.4968997538089752,0.6155502200126648,0.5110581517219543,0.49336567521095276,0.5072481036186218,0.4968138337135315,0.5056783556938171,0.49834907054901123,0.49409160017967224,0.5129359364509583,0.5129321217536926,0.5095553994178772,0.504798173904419,0.48606494069099426,-83.344345,31.740072
2dm-19,HfCl2,AB2,11,4,1,0.28164,bottom-up,0,0,0.064129,0.045762,0.8628,2/m,monoclinic,Cl,Hf,,,,,non-radioactive,no-f-in-valence,,,,monoclinic,0.5108023881912231,0.5088960528373718,0.5088722109794617,0.5148385167121887,0.5073575973510742,0.5035874247550964,0.4958658516407013,0.5732512474060059,0.5163116455078125,0.483331561088562,0.5271713137626648,0.541246771812439,0.5017197132110596,0.49786245822906494,0.4919706881046295,0.5011082887649536,0.5236965417861938,0.4876164495944977,0.496305912733078,0.6788889169692993,0.5010332465171814,0.4950209856033325,0.5032329559326172,0.4935160279273987,0.495851069688797,0.5162193179130554,0.4990883469581604,0.5083624720573425,0.5268856287002563,0.5153389573097229,0.5087668895721436,0.4884200096130371,-107.95298,36.141468
2dm-20,Al2S5,A2B5,1,4,2,0.46089,bottom-up,0,0,0.084083,0.0,2.2099,1,triclinic,Al,S,,,,,non-radioactive,no-f-in-valence,,,2dm-4306,triclinic,0.5215662717819214,0.5072264075279236,0.5086981654167175,0.5297831892967224,0.5039553642272949,0.5023977756500244,0.4944787323474884,0.48803895711898804,0.5146943926811218,0.4704672396183014,0.5111463069915771,0.5509709715843201,0.5016673803329468,0.49946627020835876,0.4944031834602356,0.4915841221809387,0.5137979984283447,0.4958203434944153,0.5026630163192749,0.6494844555854797,0.5043445229530334,0.4829799234867096,0.5054453015327454,0.492565780878067,0.49236515164375305,0.5055047273635864,0.5061517357826233,0.5066137313842773,0.5198647379875183,0.510676383972168,0.5075420141220093,0.4897361397743225,-78.88416,-20.708578
2dm-21,TaI3,AB3,162,3,3,0.88201,bottom-up,1,1,0.097255,0.23111,0.0,-3m,trigonal,I,Ta,,,,,non-radioactive,no-f-in-valence,652.0,85.2,2dm-3549,trigonal,0.5161377191543579,0.4936864674091339,0.5026891827583313,0.5068967342376709,0.5025340914726257,0.5007454752922058,0.4945138692855835,0.3715149164199829,0.49810710549354553,0.48556482791900635,0.48440590500831604,0.49132415652275085,0.49933570623397827,0.4988590478897095,0.5049808025360107,0.49406296014785767,0.5049110651016235,0.5201140642166138,0.5147063732147217,0.48026570677757263,0.49080607295036316,0.48628202080726624,0.4919638931751251,0.5053725838661194,0.490446001291275,0.5030779838562012,0.5363868474960327,0.4918944239616394,0.5021545886993408,0.49846258759498596,0.5113562941551208,0.5228521227836609,11.79671,-29.3608
2dm-22,Li2O,AB2,164,3,3,0.96678,bottom-up,1,4,0.037593,0.18798,1.9866,-3m,trigonal,Li,O,,,,,non-radioactive,no-f-in-valence,377.0,5.8,2dm-3869,trigonal,0.5205159187316895,0.5080896615982056,0.5094802379608154,0.5292596220970154,0.5029094815254211,0.5024932622909546,0.49528005719184875,0.49587464332580566,0.5139466524124146,0.47199997305870056,0.5101109743118286,0.5472318530082703,0.5013898015022278,0.5002139806747437,0.4927672743797302,0.491994708776474,0.5123294591903687,0.49607226252555847,0.5017317533493042,0.6428975462913513,0.5054359436035156,0.4840407371520996,0.5058459639549255,0.4932405948638916,0.4939592778682709,0.5036338567733765,0.5048518180847168,0.507085382938385,0.518608808517456,0.5101064443588257,0.5084679126739502,0.4898715317249298,-76.36823,-11.756554
